user_id,cohort_recharge_date,recharge_amount_on_day,recharge_count_on_day,wallet_balance_after_recharge,days_since_signup,lifetime_recharge_count_before_day,lifetime_recharge_amount_before_day,sessions_last_7d,app_launches_last_7d,notifications_clicked_last_7d,consultations_last_7d,paid_consult_minutes_last_7d,avg_consult_rating,has_used_coupon_on_day,has_done_promo_recharge,is_free_consultation_taken,has_push_enabled,country,device_type,acquisition_source,campaign_group,city_tier,future_recharged
100013,2026-01-27,622.0,1,31.0,188,1,447.0,8,1,1,2,6.6,2.9,0,1,0,1,UAE,iOS,Organic,Remarketing,Tier 2,1
100014,2026-01-27,313.0,1,97.0,149,1,240.0,3,12,1,2,7.1,4.4,0,0,0,1,India,Web,Organic,Remarketing,Tier 1,1
100015,2026-01-27,710.0,4,256.0,221,2,432.0,6,6,4,3,90.4,2.1,0,0,1,1,Canada,Android,Google Ads,Unmapped,Tier 2,1
100016,2026-01-27,429.0,1,52.0,18,0,0.0,5,7,1,2,13.9,5.0,0,0,1,1,USA,Android,Meta Ads,Performance,Tier 1,0
100017,2026-01-27,238.0,1,59.0,402,3,784.0,6,8,0,3,11.2,3.8,0,0,1,1,India,Android,CRM,Influencer,Tier 1,0
100018,2026-01-27,769.0,1,103.0,406,4,5554.0,5,5,1,1,2.8,3.1,1,1,1,1,UAE,Android,CRM,Performance,Tier 2,0
100019,2026-01-27,170.0,1,68.0,532,2,1344.0,6,4,3,0,0.0,5.0,1,0,0,1,India,Android,Meta Ads,Remarketing,Tier 1,0
100020,2026-01-27,274.0,2,108.0,297,2,833.0,7,8,2,1,3.9,3.8,1,1,0,1,USA,iOS,Organic,Brand,Tier 3,0
100021,2026-01-27,508.0,1,155.0,533,0,0.0,8,8,0,3,14.1,5.0,0,0,1,1,India,Android,Meta Ads,Unmapped,Tier 1,1
100022,2026-01-27,832.0,1,56.0,113,4,3679.0,2,6,1,2,13.2,4.2,0,0,1,1,India,Android,CRM,Performance,Tier 2,1
100023,2026-01-27,739.0,1,105.0,255,2,1554.0,4,3,0,2,22.1,3.7,1,0,0,1,UAE,Android,Organic,Influencer,Tier 2,1
100024,2026-01-27,573.0,1,166.0,422,0,0.0,7,5,1,3,16.0,4.5,0,0,0,1,India,iOS,Meta Ads,Brand,Tier 2,0
100025,2026-01-27,125.0,1,79.0,426,2,566.0,4,4,1,1,3.8,4.7,0,0,1,1,India,Android,Organic,Brand,Tier 2,0
100026,2026-01-27,324.0,1,46.0,417,1,285.0,5,6,2,0,0.0,4.1,0,0,1,1,India,Android,Meta Ads,Performance,Tier 3,0
100027,2026-01-27,379.0,1,85.0,251,0,0.0,5,8,3,0,0.0,3.3,0,0,1,0,India,Android,Meta Ads,Performance,Tier 2,1
100028,2026-01-27,229.0,1,123.0,39,2,268.0,6,3,0,1,5.0,5.0,0,0,0,1,India,Android,Meta Ads,Influencer,Tier 2,1
100029,2026-01-27,96.0,4,29.0,467,2,2964.0,3,5,1,0,0.0,3.9,0,0,1,1,India,Android,Meta Ads,Performance,Tier 1,0
100030,2026-01-27,524.0,1,259.0,205,3,640.0,2,5,1,4,58.0,3.4,1,0,0,0,UAE,Android,Referral,Unmapped,Tier 1,1
100031,2026-01-27,754.0,2,129.0,350,1,413.0,6,7,1,1,2.8,4.9,0,0,0,1,India,Android,Referral,Brand,Tier 1,1
100032,2026-01-27,357.0,1,85.0,71,5,3043.0,9,5,0,0,0.0,4.6,0,0,1,1,India,Android,Organic,Influencer,Tier 1,1
100033,2026-01-27,825.0,1,35.0,505,2,1799.0,3,6,2,3,70.8,4.6,0,0,1,1,India,Android,Meta Ads,Influencer,Tier 3,1
100034,2026-01-27,152.0,4,235.0,138,4,1394.0,7,7,2,0,0.0,3.5,0,1,1,1,India,iOS,Google Ads,Unmapped,Tier 3,1
100035,2026-01-27,218.0,1,395.0,538,1,295.0,7,7,3,4,20.2,2.9,0,0,1,1,USA,Android,Organic,Brand,Tier 3,0
100036,2026-01-27,517.0,2,101.0,386,5,2517.0,5,7,0,2,10.0,4.5,0,0,0,1,India,Android,CRM,Influencer,Tier 3,0
100037,2026-01-27,335.0,1,602.0,178,1,264.0,3,9,5,1,10.2,3.7,1,0,0,1,UK,Android,CRM,Brand,Tier 1,1
100038,2026-01-27,715.0,1,160.0,199,2,765.0,2,10,0,0,0.0,4.1,0,0,0,1,India,Android,Meta Ads,Performance,Tier 3,1
100039,2026-01-27,641.0,1,165.0,528,3,3629.0,3,7,0,2,18.5,5.0,0,0,1,1,UK,Android,Google Ads,Influencer,Tier 2,1
100040,2026-01-27,353.0,1,316.0,320,3,634.0,4,4,0,1,3.6,5.0,1,0,1,0,USA,Android,Organic,Influencer,Tier 1,0
100041,2026-01-27,166.0,1,244.0,373,1,48.0,4,7,2,0,0.0,3.0,0,1,1,1,India,Android,Organic,Unmapped,Tier 3,0
100042,2026-01-27,324.0,1,52.0,330,2,488.0,5,8,1,0,0.0,5.0,1,0,0,1,India,Android,Meta Ads,Brand,Tier 2,1
100043,2026-01-27,651.0,1,97.0,128,2,265.0,3,4,2,0,0.0,5.0,0,0,1,1,India,Android,Meta Ads,Brand,Tier 2,1
100044,2026-01-27,733.0,1,356.0,71,4,2758.0,2,6,0,3,4.6,3.9,1,1,1,1,India,Android,Meta Ads,Remarketing,Tier 2,1
100045,2026-01-27,337.0,2,248.0,1,4,1178.0,3,6,1,2,9.9,5.0,0,0,1,1,UAE,Android,Organic,Remarketing,Tier 2,1
100046,2026-01-27,95.0,1,606.0,218,1,967.0,5,8,2,3,13.7,3.5,0,0,1,1,India,iOS,Google Ads,Remarketing,Tier 2,0
100047,2026-01-27,145.0,2,219.0,369,4,1503.0,8,4,0,2,11.6,4.1,0,0,0,1,India,Android,Google Ads,Performance,Tier 3,0
100048,2026-01-27,617.0,1,255.0,162,1,135.0,5,6,0,3,53.4,4.9,1,0,1,1,India,Android,Organic,Performance,Tier 2,0
100049,2026-01-27,349.0,1,84.0,120,2,1771.0,3,9,3,0,0.0,3.4,0,0,0,0,India,Android,Google Ads,Brand,Tier 2,1
100050,2026-01-27,355.0,1,391.0,209,4,882.0,4,9,0,1,17.3,3.0,1,0,1,1,India,Android,CRM,Remarketing,Tier 2,1
100051,2026-01-27,215.0,3,12.0,124,1,48.0,7,3,2,3,4.2,4.5,1,0,1,1,UAE,iOS,Google Ads,Influencer,Tier 2,0
100052,2026-01-27,212.0,1,189.0,234,2,1177.0,7,6,0,2,5.2,3.6,0,0,0,0,India,Android,CRM,Influencer,Tier 3,1
100053,2026-01-27,817.0,3,260.0,298,1,253.0,3,10,2,2,9.5,4.5,0,0,1,1,India,Android,Organic,Performance,Tier 1,1
100054,2026-01-27,631.0,1,208.0,147,1,622.0,4,10,1,0,0.0,3.8,0,0,0,1,India,Android,Meta Ads,Performance,Tier 2,0
100055,2026-01-27,292.0,1,161.0,16,0,0.0,4,5,0,2,26.4,2.1,0,0,0,1,India,Android,Organic,Remarketing,Tier 2,0
100056,2026-01-27,492.0,2,146.0,54,3,1618.0,3,6,0,2,5.3,3.7,1,1,0,1,Canada,iOS,Referral,Remarketing,Tier 1,0
100057,2026-01-27,551.0,4,167.0,224,3,792.0,9,8,0,1,7.2,4.9,0,0,0,1,India,iOS,Google Ads,Remarketing,Tier 2,1
100058,2026-01-27,1255.0,1,61.0,95,5,4534.0,7,4,2,2,7.4,4.0,1,0,1,1,India,Android,Organic,Remarketing,Tier 2,1
100059,2026-01-27,197.0,3,207.0,431,1,202.0,3,9,3,2,28.3,3.8,1,1,1,1,India,iOS,Organic,Remarketing,Tier 2,0
100060,2026-01-27,546.0,1,85.0,89,1,623.0,1,8,0,2,2.6,3.2,1,0,0,1,UK,iOS,Google Ads,Influencer,Tier 2,1
100061,2026-01-27,814.0,2,101.0,14,4,2860.0,3,7,2,0,0.0,4.9,0,0,1,0,India,Android,Google Ads,Influencer,Tier 2,1
100062,2026-01-27,1166.0,1,54.0,334,0,0.0,3,6,1,2,8.0,2.7,0,0,1,1,India,Android,Organic,Influencer,Tier 2,1
100063,2026-01-27,280.0,1,999.0,336,4,3135.0,6,9,0,1,15.4,3.9,0,0,0,1,India,Android,Google Ads,Performance,Tier 1,0
100064,2026-01-27,346.0,1,196.0,362,4,2171.0,3,4,1,3,19.2,5.0,1,0,0,1,India,Android,Referral,Unmapped,Tier 1,1
100065,2026-01-27,719.0,2,43.0,85,1,598.0,5,5,0,2,11.8,3.2,0,0,1,0,India,iOS,Meta Ads,Performance,Tier 3,1
100066,2026-01-27,123.0,1,180.0,367,4,3143.0,4,3,0,3,5.4,4.6,0,1,1,1,India,Web,CRM,Influencer,Tier 2,0
100067,2026-01-27,582.0,1,388.0,465,3,1566.0,4,6,1,2,9.4,3.8,0,0,1,1,Canada,Android,Organic,Performance,Tier 3,1
100068,2026-01-27,1535.0,1,206.0,326,2,1700.0,5,5,3,0,0.0,2.7,0,0,1,1,India,Android,CRM,Influencer,Tier 1,1
100069,2026-01-27,623.0,2,158.0,210,2,2169.0,4,4,2,0,0.0,4.9,0,0,1,1,India,Android,CRM,Performance,Tier 2,0
100070,2026-01-27,52.0,1,79.0,260,2,1277.0,6,8,4,1,7.0,2.2,0,0,0,0,India,Android,Organic,Brand,Tier 3,0
100071,2026-01-27,240.0,1,206.0,438,0,0.0,4,8,3,0,0.0,4.0,0,0,0,1,UAE,Android,Organic,Influencer,Tier 2,0
100072,2026-01-27,287.0,1,292.0,77,4,1873.0,4,10,0,2,14.7,5.0,0,0,1,1,India,Android,CRM,Unmapped,Tier 2,1
100073,2026-01-27,934.0,1,294.0,390,3,3292.0,8,4,1,1,1.4,4.0,0,0,0,0,UK,Android,Organic,Brand,Tier 3,1
100074,2026-01-27,415.0,1,191.0,145,5,2865.0,5,5,1,1,10.9,2.6,0,0,0,1,India,Android,Organic,Performance,Tier 2,1
100075,2026-01-27,97.0,1,190.0,474,0,0.0,3,3,0,1,5.4,3.4,1,1,1,0,India,Android,CRM,Unmapped,Tier 1,1
100076,2026-01-27,449.0,2,434.0,75,4,556.0,6,8,1,2,20.9,4.8,0,0,1,1,India,Android,Organic,Remarketing,Tier 1,1
100077,2026-01-27,513.0,1,402.0,279,0,0.0,3,12,1,2,20.6,4.0,0,0,0,1,India,Android,Meta Ads,Performance,Tier 1,1
100078,2026-01-27,316.0,1,140.0,216,1,498.0,6,5,3,2,19.9,2.9,0,1,0,1,India,Android,CRM,Unmapped,Tier 1,0
100079,2026-01-27,209.0,1,570.0,262,2,1378.0,2,6,1,2,9.8,3.7,1,0,1,0,India,Android,CRM,Unmapped,Tier 2,1
100080,2026-01-27,1637.0,1,43.0,206,2,1477.0,7,3,1,1,13.6,4.0,0,0,0,1,India,Android,Google Ads,Performance,Tier 3,1
100081,2026-01-27,816.0,1,198.0,20,1,789.0,6,4,0,1,6.5,4.9,1,0,1,1,India,Android,Meta Ads,Unmapped,Tier 1,0
100082,2026-01-27,863.0,2,214.0,463,1,714.0,3,10,1,2,33.0,3.6,1,1,0,0,India,Android,CRM,Performance,Tier 1,1
100083,2026-01-27,415.0,1,74.0,288,0,0.0,3,4,0,1,16.1,4.2,0,0,0,0,India,iOS,Organic,Remarketing,Tier 2,0
100084,2026-01-27,277.0,1,34.0,324,3,4101.0,1,7,1,2,21.4,3.1,0,1,0,1,India,Android,Google Ads,Performance,Tier 3,0
100085,2026-01-27,328.0,4,76.0,281,1,968.0,3,8,1,2,14.3,4.5,0,1,0,1,India,Android,Organic,Performance,Tier 2,0
100086,2026-01-27,152.0,1,336.0,285,5,2120.0,8,5,1,1,3.7,3.1,0,0,0,1,India,iOS,Organic,Unmapped,Tier 3,0
100087,2026-01-27,1241.0,1,343.0,327,4,1631.0,7,5,0,1,6.4,3.8,0,1,0,1,India,Android,Organic,Unmapped,Tier 1,1
100088,2026-01-27,427.0,1,280.0,226,2,25.0,3,7,0,0,0.0,3.3,0,0,1,1,UK,Android,Referral,Remarketing,Tier 2,1
100089,2026-01-27,1070.0,1,87.0,70,2,362.0,3,5,0,4,29.1,4.6,1,0,1,1,India,Android,Organic,Remarketing,Tier 2,1
100090,2026-01-27,340.0,2,346.0,15,4,985.0,2,3,1,0,0.0,4.4,0,1,0,1,India,iOS,Google Ads,Performance,Tier 3,0
100091,2026-01-27,629.0,2,92.0,291,0,0.0,1,5,1,1,5.4,4.3,0,1,1,1,India,Android,Meta Ads,Performance,Tier 3,0
100092,2026-01-27,532.0,1,207.0,100,2,2143.0,8,10,0,3,29.3,5.0,1,0,1,1,India,Android,CRM,Performance,Tier 1,1
100093,2026-01-27,138.0,1,166.0,245,4,1526.0,3,6,1,1,17.3,4.7,1,0,1,1,India,Android,Organic,Influencer,Tier 3,1
100094,2026-01-27,1338.0,1,119.0,326,1,178.0,3,2,0,1,6.1,4.6,0,0,1,0,India,Android,Google Ads,Performance,Tier 1,1
100095,2026-01-27,348.0,1,270.0,321,4,2722.0,6,10,1,3,40.9,4.7,0,0,0,1,India,Android,CRM,Unmapped,Tier 2,1
100096,2026-01-27,181.0,1,311.0,90,3,2148.0,5,5,1,4,9.3,3.7,0,1,1,1,Canada,iOS,Organic,Brand,Tier 1,0
100097,2026-01-27,723.0,1,82.0,356,6,2307.0,2,3,1,2,9.6,3.7,0,0,1,0,India,Android,Referral,Remarketing,Tier 3,1
100098,2026-01-27,465.0,1,174.0,508,2,1969.0,5,3,2,0,0.0,3.8,0,1,1,1,India,Android,Google Ads,Brand,Tier 1,1
100099,2026-01-27,592.0,2,299.0,195,1,1029.0,2,8,1,3,33.6,2.6,0,0,1,0,India,Android,Google Ads,Brand,Tier 1,1
100100,2026-01-27,498.0,2,5.0,63,3,258.0,4,7,0,2,4.6,2.7,1,0,1,1,India,Android,Google Ads,Influencer,Tier 1,1
100101,2026-01-27,58.0,1,229.0,272,1,719.0,6,5,1,1,5.3,4.2,0,1,0,1,Canada,iOS,Meta Ads,Remarketing,Tier 2,1
100102,2026-01-27,234.0,1,303.0,333,1,43.0,2,4,0,1,10.6,5.0,0,0,0,1,India,Android,Meta Ads,Unmapped,Tier 2,1
100103,2026-01-27,226.0,1,237.0,213,3,1260.0,5,3,1,1,4.4,3.7,0,0,1,1,India,iOS,Organic,Brand,Tier 2,0
100104,2026-01-27,855.0,1,246.0,323,2,3611.0,1,5,1,1,1.0,2.7,0,1,0,1,India,Android,Meta Ads,Brand,Tier 2,1
100105,2026-01-27,477.0,1,156.0,413,1,695.0,2,7,1,1,7.0,3.1,1,0,1,0,India,Android,CRM,Unmapped,Tier 1,1
100106,2026-01-27,654.0,1,288.0,312,2,548.0,4,10,2,2,7.2,2.4,0,0,1,1,India,Android,Organic,Performance,Tier 3,1
100107,2026-01-27,363.0,3,50.0,430,5,3730.0,4,5,2,1,5.5,5.0,0,0,1,1,India,Android,Organic,Performance,Tier 1,1
100108,2026-01-27,676.0,1,76.0,78,2,511.0,6,2,3,2,17.9,3.9,0,1,1,1,India,Android,Google Ads,Performance,Tier 2,1
100109,2026-01-27,416.0,1,243.0,158,2,1153.0,3,3,0,1,10.5,4.4,0,0,0,1,UK,Android,Google Ads,Performance,Tier 2,0
100110,2026-01-27,394.0,1,289.0,299,1,214.0,3,8,1,3,14.0,4.9,0,0,1,1,India,iOS,Meta Ads,Brand,Tier 1,1
100111,2026-01-27,530.0,1,390.0,140,1,342.0,4,12,0,1,4.2,3.5,0,0,0,1,India,Android,Organic,Remarketing,Tier 3,1
100112,2026-01-27,498.0,1,512.0,536,1,973.0,6,5,0,3,30.0,3.8,0,0,0,1,India,Android,Google Ads,Influencer,Tier 1,1
100113,2026-01-27,1963.0,1,88.0,366,3,4028.0,2,3,1,1,9.4,4.0,1,1,1,1,India,Android,Organic,Brand,Tier 2,1
100114,2026-01-27,232.0,3,60.0,222,1,575.0,6,6,2,0,0.0,4.9,1,0,1,1,India,iOS,Organic,Performance,Tier 3,0
100115,2026-01-27,124.0,2,330.0,417,0,0.0,2,9,1,1,9.4,4.1,0,1,1,0,UAE,Android,Organic,Performance,Tier 1,0
100116,2026-01-27,583.0,3,114.0,530,2,607.0,3,7,0,1,5.9,4.3,0,0,0,1,USA,iOS,Google Ads,Brand,Tier 2,0
100117,2026-01-27,259.0,1,161.0,5,3,569.0,7,4,3,0,0.0,3.4,0,0,1,1,USA,Android,Organic,Brand,Tier 2,0
100118,2026-01-27,50.0,1,306.0,300,3,1595.0,3,7,1,0,0.0,3.3,1,0,1,0,India,Android,Organic,Brand,Tier 2,0
100119,2026-01-27,190.0,1,197.0,230,3,1522.0,3,3,1,1,0.9,4.5,1,1,1,1,India,Web,Organic,Influencer,Tier 2,1
100120,2026-01-27,1703.0,1,281.0,407,4,7464.0,2,7,1,1,1.9,4.3,0,0,1,0,India,Android,Google Ads,Performance,Tier 1,1
100121,2026-01-27,227.0,1,80.0,166,1,410.0,3,5,1,3,16.0,3.5,1,0,1,0,USA,Android,Google Ads,Remarketing,Tier 3,0
100122,2026-01-27,87.0,2,216.0,175,1,396.0,3,2,3,2,55.8,3.7,1,0,0,1,Canada,iOS,Organic,Performance,Tier 1,0
100123,2026-01-27,1637.0,1,212.0,413,4,2773.0,5,6,2,1,3.0,4.2,0,0,1,1,India,Android,Organic,Brand,Tier 2,1
100124,2026-01-27,183.0,1,385.0,480,0,0.0,3,7,0,3,98.7,3.3,0,0,1,1,India,Android,Organic,Performance,Tier 2,1
100125,2026-01-27,2328.0,1,447.0,77,1,242.0,7,5,0,1,7.0,3.1,1,0,1,1,India,iOS,Organic,Brand,Tier 2,1
100126,2026-01-27,352.0,1,112.0,331,3,1866.0,1,3,2,2,39.8,2.4,1,0,0,1,India,Android,Referral,Remarketing,Tier 3,1
100127,2026-01-27,1341.0,1,67.0,420,1,120.0,5,3,0,0,0.0,4.6,0,0,1,1,India,Android,Google Ads,Brand,Tier 2,1
100128,2026-01-27,388.0,1,294.0,88,3,1997.0,2,3,0,0,0.0,3.7,0,1,1,1,India,Android,Referral,Remarketing,Tier 2,0
100129,2026-01-27,631.0,1,30.0,357,2,657.0,0,10,1,2,0.9,3.5,1,0,1,1,USA,Android,Meta Ads,Influencer,Tier 3,0
100130,2026-01-27,422.0,1,309.0,529,1,777.0,3,4,2,2,13.3,4.2,1,0,1,0,India,Android,Google Ads,Performance,Tier 2,0
100131,2026-01-27,390.0,3,327.0,455,1,1114.0,4,4,0,0,0.0,4.0,1,1,1,0,India,iOS,Meta Ads,Unmapped,Tier 2,0
100132,2026-01-27,551.0,1,104.0,104,3,727.0,4,9,3,1,2.5,3.1,0,0,1,0,India,iOS,Organic,Unmapped,Tier 3,1
100133,2026-01-27,647.0,1,7.0,534,5,1944.0,4,3,3,2,20.3,3.7,1,0,1,0,India,Android,Meta Ads,Performance,Tier 1,1
100134,2026-01-27,522.0,1,353.0,192,0,0.0,6,4,0,0,0.0,4.5,1,1,1,1,UK,Android,Meta Ads,Remarketing,Tier 2,1
100135,2026-01-27,485.0,2,470.0,257,1,574.0,3,6,0,0,0.0,4.1,0,0,1,1,India,Android,Organic,Unmapped,Tier 2,1
100136,2026-01-27,261.0,1,447.0,157,1,1361.0,2,3,0,3,24.2,4.9,0,0,1,1,India,Android,Organic,Unmapped,Tier 2,1
100137,2026-01-27,434.0,1,458.0,377,2,1180.0,4,11,0,4,97.1,4.6,1,0,0,1,India,Web,CRM,Performance,Tier 3,1
100138,2026-01-27,1237.0,1,46.0,67,3,3233.0,2,9,1,2,13.8,4.4,0,0,1,1,Canada,Android,Referral,Performance,Tier 1,1
100139,2026-01-27,252.0,1,178.0,383,2,327.0,4,4,0,2,1.4,2.6,0,0,1,1,UAE,Android,CRM,Remarketing,Tier 1,0
100140,2026-01-27,562.0,1,211.0,29,2,470.0,8,2,1,1,26.3,5.0,0,0,1,1,India,Android,Organic,Remarketing,Tier 1,1
100141,2026-01-27,1003.0,1,187.0,456,0,0.0,7,6,2,1,14.2,4.1,0,0,1,1,India,iOS,Organic,Remarketing,Tier 2,1
100142,2026-01-27,651.0,1,284.0,176,2,461.0,6,7,1,0,0.0,4.6,1,0,0,1,India,Android,Google Ads,Performance,Tier 3,1
100143,2026-01-27,861.0,2,63.0,279,4,5024.0,5,4,2,0,0.0,5.0,0,1,1,1,India,Android,Google Ads,Performance,Tier 3,1
100144,2026-01-27,181.0,1,29.0,123,2,526.0,3,4,0,2,48.7,4.3,0,1,1,1,India,Android,Organic,Brand,Tier 1,0
100145,2026-01-27,563.0,1,19.0,58,2,265.0,4,3,0,3,4.6,2.3,0,1,1,0,India,Android,Google Ads,Performance,Tier 2,1
100146,2026-01-27,374.0,1,358.0,12,2,813.0,4,3,1,1,5.8,2.2,1,1,1,1,India,Android,Organic,Influencer,Tier 3,1
100147,2026-01-27,386.0,1,46.0,528,5,820.0,5,10,1,3,12.0,2.5,0,0,1,1,India,Android,Organic,Influencer,Tier 1,1
100148,2026-01-27,1171.0,1,186.0,73,4,2922.0,3,6,2,1,13.1,2.9,0,0,1,1,India,iOS,Meta Ads,Unmapped,Tier 2,1
100149,2026-01-27,390.0,1,100.0,30,2,87.0,3,6,0,2,47.0,5.0,0,0,0,1,UAE,Android,CRM,Brand,Tier 2,0
100150,2026-01-27,575.0,1,104.0,277,3,4751.0,5,7,0,3,20.8,4.6,0,0,0,1,India,Android,Google Ads,Performance,Tier 1,1
100151,2026-01-27,87.0,4,143.0,519,3,1518.0,7,9,1,3,30.7,4.3,0,0,1,1,India,Android,CRM,Remarketing,Tier 1,0
100152,2026-01-27,1340.0,1,108.0,44,2,1517.0,7,4,1,2,13.0,3.8,1,1,1,0,India,Android,Google Ads,Remarketing,Tier 3,1
100153,2026-01-27,828.0,3,29.0,137,3,2481.0,5,7,0,2,25.1,5.0,0,0,1,1,India,Web,Google Ads,Influencer,Tier 1,0
100154,2026-01-27,446.0,3,143.0,300,3,1645.0,3,6,2,3,8.1,3.9,0,0,1,1,India,Web,Organic,Performance,Tier 2,1
100155,2026-01-27,361.0,1,82.0,265,4,2633.0,6,8,1,2,24.2,2.7,1,0,1,1,India,Android,CRM,Unmapped,Tier 2,1
100156,2026-01-27,695.0,1,78.0,78,2,726.0,6,9,0,1,13.6,3.6,0,0,1,1,India,iOS,Organic,Performance,Tier 1,1
100157,2026-01-27,995.0,1,566.0,513,1,825.0,1,15,0,0,0.0,4.6,0,0,1,1,Canada,iOS,Meta Ads,Unmapped,Tier 2,1
100158,2026-01-27,1352.0,4,38.0,193,2,2797.0,3,11,0,0,0.0,4.5,0,0,1,1,UAE,iOS,Organic,Performance,Tier 2,1
100159,2026-01-27,810.0,1,138.0,365,2,705.0,6,5,1,0,0.0,2.0,1,1,0,0,India,Android,Organic,Unmapped,Tier 1,1
100160,2026-01-27,490.0,1,199.0,247,3,2691.0,6,7,1,2,8.3,3.8,0,0,0,1,USA,Android,Organic,Brand,Tier 2,1
100161,2026-01-27,893.0,1,566.0,316,2,2010.0,0,9,1,2,41.3,5.0,1,0,0,0,India,Android,Organic,Remarketing,Tier 1,1
100162,2026-01-27,788.0,2,56.0,488,3,1009.0,6,6,2,0,0.0,3.3,1,1,1,1,India,Android,CRM,Performance,Tier 1,1
100163,2026-01-27,491.0,1,431.0,175,3,1402.0,7,4,0,1,2.8,3.2,1,0,0,1,India,Android,Organic,Unmapped,Tier 1,0
100164,2026-01-27,773.0,1,143.0,439,1,451.0,1,6,0,1,1.8,4.0,1,0,0,0,UAE,iOS,Organic,Unmapped,Tier 2,1
100165,2026-01-27,763.0,1,147.0,157,1,412.0,6,8,1,1,4.0,5.0,0,1,1,0,UAE,Android,Meta Ads,Remarketing,Tier 3,1
100166,2026-01-27,444.0,1,271.0,171,2,538.0,2,6,2,5,32.1,2.9,1,1,0,1,India,Android,Organic,Unmapped,Tier 2,0
100167,2026-01-27,311.0,2,479.0,17,2,963.0,8,5,1,0,0.0,4.3,1,0,0,1,USA,Android,Google Ads,Unmapped,Tier 1,0
100168,2026-01-27,720.0,2,108.0,187,5,1987.0,4,6,2,2,37.3,3.7,0,0,0,1,India,Android,Organic,Influencer,Tier 2,1
100169,2026-01-27,199.0,1,211.0,316,1,1144.0,5,5,0,1,11.2,2.5,1,0,1,1,India,Android,Organic,Brand,Tier 2,0
100170,2026-01-27,162.0,1,189.0,345,2,1161.0,7,4,0,2,21.3,3.9,1,0,0,1,India,Android,Organic,Remarketing,Tier 1,0
100171,2026-01-27,582.0,2,181.0,232,2,581.0,2,7,1,0,0.0,3.6,0,0,1,1,India,iOS,CRM,Brand,Tier 3,1
100172,2026-01-27,707.0,1,307.0,192,2,2382.0,5,7,0,0,0.0,4.1,0,0,0,1,UAE,Web,CRM,Unmapped,Tier 2,1
100173,2026-01-27,579.0,1,87.0,121,3,3126.0,6,9,1,1,5.8,3.4,1,0,1,0,India,Android,Google Ads,Remarketing,Tier 2,1
100174,2026-01-27,623.0,1,121.0,488,0,0.0,3,2,1,1,10.0,3.8,1,0,1,1,India,iOS,Organic,Remarketing,Tier 1,1
100175,2026-01-27,699.0,1,30.0,207,1,555.0,7,2,0,1,18.8,3.3,0,0,1,1,India,iOS,Organic,Performance,Tier 2,0
100176,2026-01-27,1174.0,4,255.0,165,7,8071.0,4,3,1,3,16.9,5.0,0,0,1,1,India,Android,Referral,Influencer,Tier 1,1
100177,2026-01-27,820.0,1,175.0,508,3,2613.0,4,9,2,1,5.9,2.9,1,0,1,1,India,Android,Organic,Performance,Tier 1,1
