user_id,cohort_recharge_date,recharge_amount_on_day,recharge_count_on_day,wallet_balance_after_recharge,days_since_signup,lifetime_recharge_count_before_day,lifetime_recharge_amount_before_day,sessions_last_7d,app_launches_last_7d,notifications_clicked_last_7d,consultations_last_7d,paid_consult_minutes_last_7d,avg_consult_rating,has_used_coupon_on_day,has_done_promo_recharge,is_free_consultation_taken,has_push_enabled,country,device_type,acquisition_source,campaign_group,city_tier
100013,2026-01-27,328.0,2,296.0,132,3,2303.0,4,5,3,1,12.0,1.9,1,0,0,1,India,Android,Google Ads,Brand,Tier 2
100014,2026-01-27,1006.0,1,307.0,33,3,4196.0,4,3,1,2,25.5,4.6,0,0,1,1,India,Android,CRM,Brand,Tier 1
100015,2026-01-27,348.0,1,549.0,497,1,508.0,4,4,1,1,7.4,4.2,0,0,0,1,USA,Android,Organic,Unmapped,Tier 3
100016,2026-01-27,816.0,1,117.0,176,3,1774.0,5,9,0,1,3.4,5.0,0,0,1,0,India,Android,Organic,Influencer,Tier 1
100017,2026-01-27,203.0,1,158.0,313,2,1045.0,7,7,0,4,36.6,1.8,0,0,1,1,India,Android,Referral,Remarketing,Tier 2
100018,2026-01-27,157.0,1,649.0,88,0,0.0,11,5,1,2,24.0,3.7,0,0,0,1,India,Android,Meta Ads,Unmapped,Tier 1
100019,2026-01-27,1135.0,1,202.0,396,3,349.0,4,5,1,2,22.0,2.6,0,0,1,1,USA,Android,Organic,Performance,Tier 2
100020,2026-01-27,553.0,2,221.0,143,2,593.0,4,6,0,1,15.4,4.4,0,0,0,1,India,Android,Google Ads,Unmapped,Tier 1
100021,2026-01-27,923.0,2,248.0,100,5,3146.0,3,7,0,0,0.0,4.4,1,1,1,1,UAE,Android,Meta Ads,Brand,Tier 2
100022,2026-01-27,272.0,2,291.0,75,3,2268.0,4,4,1,0,0.0,4.6,0,0,1,1,India,Android,Organic,Performance,Tier 2
100023,2026-01-27,857.0,1,207.0,158,1,659.0,3,6,1,3,105.4,3.0,0,0,0,0,India,Android,Referral,Performance,Tier 3
100024,2026-01-27,560.0,1,15.0,530,1,282.0,3,4,2,2,11.1,3.5,0,0,1,1,India,Android,Organic,Performance,Tier 2
100025,2026-01-27,88.0,2,100.0,353,3,797.0,1,5,0,0,0.0,3.7,0,0,1,1,India,Android,Meta Ads,Performance,Tier 3
100026,2026-01-27,241.0,2,286.0,155,3,1203.0,3,6,3,2,23.0,3.3,0,0,1,1,India,Android,Organic,Unmapped,Tier 1
100027,2026-01-27,142.0,1,267.0,528,2,1433.0,4,5,1,1,5.2,3.8,0,0,0,1,India,iOS,Organic,Brand,Tier 2
100028,2026-01-27,375.0,1,188.0,88,3,2854.0,5,2,1,0,0.0,4.0,0,0,1,1,India,Android,Meta Ads,Remarketing,Tier 2
100029,2026-01-27,864.0,1,388.0,507,4,948.0,1,5,5,1,2.1,3.9,1,0,0,1,India,Android,Organic,Remarketing,Tier 2
100030,2026-01-27,529.0,1,46.0,39,1,343.0,4,5,0,2,41.5,3.1,1,0,1,1,Canada,Android,Organic,Performance,Tier 2
100031,2026-01-27,603.0,1,207.0,219,1,660.0,5,8,1,4,36.0,4.0,1,1,1,1,India,Android,Meta Ads,Remarketing,Tier 1
100032,2026-01-27,625.0,2,348.0,330,2,1098.0,4,4,0,1,9.0,5.0,0,1,1,1,India,iOS,Referral,Influencer,Tier 3
100033,2026-01-27,211.0,1,247.0,403,3,1016.0,9,6,2,1,15.6,3.6,0,0,1,1,Canada,Android,CRM,Unmapped,Tier 1
100034,2026-01-27,915.0,1,187.0,410,3,2100.0,3,10,2,0,0.0,5.0,1,0,1,1,India,Android,Organic,Unmapped,Tier 1
100035,2026-01-27,895.0,1,279.0,262,6,2636.0,1,7,0,1,4.8,4.1,1,1,1,1,India,iOS,Organic,Brand,Tier 1
100036,2026-01-27,197.0,3,108.0,518,1,232.0,6,3,3,3,14.8,3.3,0,1,1,1,India,iOS,CRM,Performance,Tier 2
100037,2026-01-27,467.0,1,338.0,293,2,437.0,6,7,1,2,9.0,3.1,0,1,0,1,USA,Android,Organic,Performance,Tier 2
100038,2026-01-27,394.0,1,110.0,415,3,1520.0,1,6,0,1,5.1,4.2,0,0,1,1,India,Android,CRM,Performance,Tier 1
100039,2026-01-27,665.0,1,472.0,334,3,2774.0,5,7,0,0,0.0,3.6,1,0,0,1,India,Android,Organic,Remarketing,Tier 2
100040,2026-01-27,107.0,1,215.0,159,2,1277.0,3,8,3,0,0.0,3.8,0,0,1,1,India,Android,Referral,Performance,Tier 1
100041,2026-01-27,1196.0,1,431.0,251,4,587.0,3,5,2,0,0.0,3.1,1,0,1,1,India,Android,CRM,Brand,Tier 2
100042,2026-01-27,483.0,1,123.0,284,3,2583.0,8,7,1,5,11.1,3.1,0,0,0,1,India,Android,Google Ads,Remarketing,Tier 3
100043,2026-01-27,447.0,4,270.0,39,1,402.0,2,5,1,2,24.1,4.0,1,0,1,1,India,Android,Google Ads,Remarketing,Tier 3
100044,2026-01-27,439.0,1,297.0,59,4,2052.0,3,10,1,2,20.7,2.5,0,0,1,1,USA,Android,Organic,Remarketing,Tier 2
100045,2026-01-27,476.0,1,100.0,139,1,582.0,2,7,0,5,48.9,3.7,1,0,1,1,India,Android,Organic,Performance,Tier 2
100046,2026-01-27,748.0,1,393.0,420,4,5339.0,5,3,2,3,2.7,5.0,0,0,0,1,India,Android,Google Ads,Brand,Tier 2
100047,2026-01-27,1500.0,1,63.0,186,2,1123.0,8,5,0,1,20.7,4.8,0,1,1,1,India,Android,Meta Ads,Performance,Tier 3
100048,2026-01-27,168.0,1,10.0,372,1,509.0,2,2,0,2,20.2,4.3,0,0,0,0,USA,Android,Meta Ads,Influencer,Tier 1
100049,2026-01-27,140.0,1,209.0,199,3,5229.0,4,7,0,3,9.3,5.0,1,0,1,1,UAE,Android,Meta Ads,Remarketing,Tier 1
100050,2026-01-27,1165.0,1,324.0,465,4,2250.0,2,4,1,0,0.0,3.0,0,0,0,0,India,Android,CRM,Remarketing,Tier 3
100051,2026-01-27,168.0,1,1690.0,267,3,1924.0,5,7,2,1,7.2,2.4,0,0,1,1,India,Android,Google Ads,Remarketing,Tier 1
100052,2026-01-27,466.0,1,105.0,383,3,1088.0,3,4,0,2,19.9,4.4,1,0,1,1,Canada,Android,Google Ads,Unmapped,Tier 2
100053,2026-01-27,31.0,1,368.0,515,0,0.0,6,7,0,1,3.9,3.2,0,0,1,1,India,Android,Organic,Unmapped,Tier 3
100054,2026-01-27,30.0,1,335.0,40,1,880.0,6,6,2,1,6.1,3.9,0,0,1,1,Canada,Android,Meta Ads,Remarketing,Tier 3
100055,2026-01-27,542.0,2,131.0,397,1,1181.0,5,12,1,0,0.0,3.6,0,1,0,0,India,Android,Meta Ads,Remarketing,Tier 2
100056,2026-01-27,382.0,1,166.0,246,2,1502.0,5,8,1,2,42.3,3.9,0,0,1,1,India,Android,Organic,Performance,Tier 2
100057,2026-01-27,144.0,1,522.0,252,3,695.0,5,5,1,2,9.0,1.9,0,0,1,1,India,Web,Organic,Performance,Tier 2
100058,2026-01-27,398.0,1,370.0,102,1,757.0,5,7,0,2,0.8,3.4,0,0,1,1,India,Android,Google Ads,Unmapped,Tier 2
100059,2026-01-27,316.0,2,51.0,234,0,0.0,4,5,1,1,3.4,2.9,0,0,0,0,India,iOS,Google Ads,Performance,Tier 1
100060,2026-01-27,61.0,1,165.0,18,1,697.0,3,4,1,2,8.7,4.4,0,0,1,1,India,Android,Google Ads,Influencer,Tier 3
100061,2026-01-27,871.0,1,437.0,239,2,1124.0,4,3,2,0,0.0,4.4,0,0,0,1,India,Android,Google Ads,Brand,Tier 2
100062,2026-01-27,162.0,1,106.0,471,1,297.0,3,3,3,3,45.0,4.0,1,0,1,1,UAE,Android,Meta Ads,Brand,Tier 2
100063,2026-01-27,290.0,2,62.0,409,2,1032.0,3,2,1,2,7.3,4.9,0,0,1,1,India,Android,Google Ads,Performance,Tier 1
100064,2026-01-27,404.0,2,283.0,418,1,626.0,5,2,0,0,0.0,4.4,0,0,1,0,India,Android,Organic,Influencer,Tier 1
100065,2026-01-27,237.0,1,365.0,340,2,1180.0,4,6,0,2,19.9,5.0,0,1,0,1,UAE,iOS,Referral,Remarketing,Tier 2
100066,2026-01-27,819.0,2,121.0,387,4,3583.0,4,5,1,2,3.3,3.9,1,1,1,1,India,Android,Google Ads,Unmapped,Tier 2
100067,2026-01-27,393.0,1,251.0,424,2,2385.0,6,1,0,0,0.0,4.6,0,0,1,1,India,iOS,Google Ads,Performance,Tier 1
100068,2026-01-27,617.0,3,575.0,312,0,0.0,5,3,0,2,14.0,4.3,1,0,1,1,USA,Android,CRM,Influencer,Tier 2
100069,2026-01-27,342.0,1,241.0,103,3,1396.0,7,4,1,3,55.2,4.2,0,0,1,1,India,Android,Organic,Remarketing,Tier 2
100070,2026-01-27,1177.0,1,388.0,222,3,602.0,4,6,1,0,0.0,4.6,1,0,1,1,India,Android,CRM,Influencer,Tier 2
100071,2026-01-27,320.0,1,290.0,26,2,1836.0,4,10,2,0,0.0,3.8,1,1,0,1,India,Android,Organic,Remarketing,Tier 1
100072,2026-01-27,760.0,2,44.0,153,0,0.0,6,5,0,2,11.7,5.0,0,0,0,0,India,iOS,Organic,Unmapped,Tier 2
100073,2026-01-27,635.0,1,186.0,330,1,362.0,10,8,2,2,13.2,3.7,0,0,1,1,UAE,Android,CRM,Performance,Tier 3
100074,2026-01-27,742.0,2,133.0,78,5,7174.0,3,4,0,0,0.0,5.0,1,1,0,1,India,Android,Google Ads,Performance,Tier 2
100075,2026-01-27,338.0,1,148.0,320,5,1215.0,1,2,1,1,13.0,5.0,1,0,0,1,India,Android,Google Ads,Remarketing,Tier 1
100076,2026-01-27,324.0,1,221.0,448,2,404.0,3,6,1,2,13.2,2.8,0,0,1,1,India,Android,Google Ads,Brand,Tier 2
100077,2026-01-27,403.0,2,119.0,215,2,340.0,5,3,3,1,5.0,3.8,0,0,1,1,UAE,iOS,Google Ads,Remarketing,Tier 1
100078,2026-01-27,456.0,1,239.0,403,7,3512.0,3,8,0,1,12.8,3.4,0,0,1,1,India,Android,Meta Ads,Remarketing,Tier 3
100079,2026-01-27,80.0,1,346.0,287,1,528.0,2,7,1,1,2.2,4.0,0,0,0,1,India,Android,Google Ads,Remarketing,Tier 1
100080,2026-01-27,933.0,1,319.0,479,1,324.0,2,7,2,0,0.0,5.0,1,0,1,1,India,Android,Google Ads,Performance,Tier 1
100081,2026-01-27,109.0,1,809.0,44,2,2090.0,5,5,1,3,42.7,3.5,1,1,0,1,India,iOS,Google Ads,Unmapped,Tier 2
100082,2026-01-27,372.0,1,54.0,470,5,4249.0,5,5,2,0,0.0,3.3,0,0,1,1,India,Android,Meta Ads,Performance,Tier 2
100083,2026-01-27,347.0,1,57.0,270,7,3588.0,5,3,0,0,0.0,3.6,0,0,1,1,India,Android,Referral,Performance,Tier 2
100084,2026-01-27,414.0,2,196.0,461,1,221.0,6,8,2,3,15.7,5.0,0,1,0,1,India,Android,Organic,Unmapped,Tier 2
100085,2026-01-27,749.0,1,34.0,59,2,980.0,5,8,0,1,11.5,5.0,0,0,0,1,USA,iOS,Referral,Performance,Tier 2
100086,2026-01-27,265.0,2,182.0,481,2,1604.0,4,7,1,1,10.4,3.2,0,0,0,1,India,Android,CRM,Brand,Tier 3
100087,2026-01-27,597.0,1,535.0,142,2,1146.0,5,8,1,2,7.6,4.0,1,0,1,1,India,iOS,Google Ads,Unmapped,Tier 2
100088,2026-01-27,667.0,1,239.0,303,1,105.0,5,7,2,0,0.0,5.0,0,0,1,1,India,iOS,Organic,Unmapped,Tier 2
100089,2026-01-27,182.0,2,232.0,401,4,1827.0,2,8,3,3,7.7,3.5,0,0,1,0,India,Android,Google Ads,Remarketing,Tier 1
100090,2026-01-27,212.0,1,51.0,289,2,1298.0,3,2,2,4,48.5,3.1,1,0,1,0,India,iOS,Meta Ads,Performance,Tier 3
100091,2026-01-27,566.0,1,207.0,522,7,959.0,5,10,0,1,20.5,4.3,1,0,1,0,India,Android,Organic,Influencer,Tier 1
100092,2026-01-27,14.0,2,165.0,92,1,124.0,3,9,2,4,28.6,2.2,0,0,0,0,USA,Android,Meta Ads,Performance,Tier 2
100093,2026-01-27,1057.0,1,116.0,416,1,198.0,1,5,2,3,25.8,3.0,0,0,1,1,India,Android,Google Ads,Remarketing,Tier 2
100094,2026-01-27,939.0,1,117.0,219,4,1033.0,4,5,1,3,29.7,5.0,0,1,0,1,India,iOS,Meta Ads,Performance,Tier 3
100095,2026-01-27,395.0,1,50.0,167,3,2571.0,4,3,2,2,32.2,1.6,1,0,0,1,India,Android,CRM,Brand,Tier 3
100096,2026-01-27,664.0,1,350.0,26,2,742.0,2,7,0,1,6.5,5.0,0,0,1,0,India,Android,CRM,Unmapped,Tier 2
100097,2026-01-27,454.0,1,49.0,139,3,2589.0,3,4,1,2,13.6,4.0,0,0,1,0,India,Android,Organic,Performance,Tier 2
100098,2026-01-27,148.0,1,192.0,379,6,706.0,2,8,1,2,12.3,4.0,0,1,0,1,India,Android,Meta Ads,Brand,Tier 3
100099,2026-01-27,186.0,1,387.0,92,5,1818.0,5,8,2,2,9.3,3.1,0,0,1,1,India,Android,Organic,Remarketing,Tier 1
100100,2026-01-27,966.0,1,474.0,497,1,625.0,5,4,3,0,0.0,3.1,0,0,0,1,UK,iOS,Organic,Unmapped,Tier 3
100101,2026-01-27,523.0,1,183.0,490,2,1082.0,7,9,1,3,12.6,2.4,0,0,1,1,India,Android,CRM,Remarketing,Tier 1
100102,2026-01-27,27.0,3,121.0,368,0,0.0,1,8,2,1,7.0,4.1,1,0,0,1,India,Android,Organic,Brand,Tier 3
100103,2026-01-27,337.0,1,150.0,101,1,852.0,3,4,0,4,5.1,5.0,0,1,1,0,India,Android,Organic,Brand,Tier 2
100104,2026-01-27,930.0,1,176.0,127,2,1955.0,7,5,0,1,0.7,4.2,0,0,1,0,India,Android,CRM,Unmapped,Tier 3
100105,2026-01-27,509.0,2,29.0,490,1,1847.0,5,4,0,1,2.1,3.3,0,0,1,1,India,iOS,Meta Ads,Brand,Tier 2
100106,2026-01-27,776.0,1,97.0,394,1,586.0,5,3,1,0,0.0,3.5,0,0,0,1,India,iOS,Meta Ads,Performance,Tier 3
100107,2026-01-27,432.0,1,386.0,54,3,866.0,3,6,0,0,0.0,4.8,0,0,1,1,India,Android,CRM,Unmapped,Tier 2
100108,2026-01-27,927.0,1,224.0,330,1,1474.0,2,5,1,0,0.0,4.8,1,1,1,0,India,iOS,Organic,Remarketing,Tier 2
100109,2026-01-27,161.0,1,507.0,358,2,572.0,4,7,1,1,14.1,2.8,0,0,1,0,India,Android,Google Ads,Unmapped,Tier 1
100110,2026-01-27,829.0,1,576.0,419,5,2376.0,7,7,0,3,5.1,3.3,0,0,1,1,UK,Android,Organic,Remarketing,Tier 2
100111,2026-01-27,371.0,4,515.0,180,2,421.0,2,3,2,3,10.0,4.7,0,1,0,0,India,Android,Organic,Performance,Tier 2
100112,2026-01-27,823.0,2,169.0,189,4,1999.0,5,4,1,1,2.2,3.5,0,1,0,0,India,Android,Google Ads,Unmapped,Tier 2
100113,2026-01-27,338.0,3,218.0,272,0,0.0,5,6,1,1,8.6,1.7,0,0,1,1,UAE,Android,Meta Ads,Brand,Tier 1
100114,2026-01-27,735.0,1,317.0,128,0,0.0,2,9,1,1,3.1,3.7,1,0,1,1,India,Android,Referral,Performance,Tier 3
100115,2026-01-27,604.0,4,216.0,393,3,1853.0,3,5,1,2,4.1,4.0,1,1,1,1,India,Android,Organic,Performance,Tier 2
100116,2026-01-27,296.0,1,93.0,35,2,513.0,7,4,0,1,1.3,3.1,0,0,0,1,India,iOS,Google Ads,Performance,Tier 1
100117,2026-01-27,436.0,1,218.0,515,1,634.0,3,6,3,0,0.0,4.3,1,0,1,1,UAE,Web,Google Ads,Brand,Tier 1
100118,2026-01-27,781.0,2,145.0,475,2,568.0,7,6,1,3,10.9,5.0,0,0,1,0,India,Android,Organic,Brand,Tier 1
100119,2026-01-27,1403.0,2,241.0,93,3,1231.0,6,6,0,1,5.8,3.4,1,0,0,1,India,iOS,Meta Ads,Brand,Tier 2
100120,2026-01-27,626.0,1,552.0,1,2,1021.0,4,6,1,0,0.0,3.8,0,0,1,1,India,Android,Organic,Performance,Tier 3
100121,2026-01-27,787.0,2,159.0,409,5,1584.0,5,6,1,0,0.0,3.8,0,1,0,0,India,Android,Meta Ads,Performance,Tier 2
100122,2026-01-27,314.0,1,212.0,536,2,59.0,4,10,1,1,0.8,3.1,1,0,1,1,India,Android,Google Ads,Performance,Tier 3
100123,2026-01-27,339.0,1,25.0,157,4,3695.0,6,8,1,1,1.3,3.1,1,0,1,1,India,iOS,Organic,Performance,Tier 2
100124,2026-01-27,1240.0,1,530.0,63,1,618.0,4,3,2,3,28.5,5.0,0,0,0,1,India,Android,Organic,Brand,Tier 2
100125,2026-01-27,528.0,3,181.0,302,4,1265.0,2,7,0,2,5.1,3.5,1,0,1,1,UAE,Android,Organic,Performance,Tier 3
100126,2026-01-27,610.0,1,161.0,139,0,0.0,3,1,1,0,0.0,3.2,1,1,0,0,India,Android,Organic,Performance,Tier 2
100127,2026-01-27,994.0,1,105.0,415,2,1583.0,8,10,3,0,0.0,4.5,0,1,1,1,UK,Android,Google Ads,Remarketing,Tier 2
100128,2026-01-27,1800.0,2,136.0,10,2,1053.0,5,4,0,2,13.0,5.0,0,0,1,0,India,iOS,Organic,Remarketing,Tier 2
100129,2026-01-27,89.0,1,32.0,461,2,348.0,3,4,0,0,0.0,3.3,0,1,1,1,UAE,Android,Organic,Brand,Tier 3
100130,2026-01-27,387.0,1,352.0,62,2,1156.0,1,6,3,1,27.1,5.0,1,0,1,0,Canada,Android,Organic,Remarketing,Tier 1
100131,2026-01-27,148.0,1,501.0,17,1,89.0,7,7,1,3,0.4,3.9,1,0,1,1,India,Web,Organic,Brand,Tier 3
100132,2026-01-27,353.0,2,327.0,477,1,573.0,3,6,0,2,13.2,5.0,1,0,1,1,UAE,iOS,Google Ads,Brand,Tier 1
100133,2026-01-27,1012.0,1,117.0,343,0,0.0,4,9,1,2,5.4,4.9,0,0,0,0,India,Android,Organic,Performance,Tier 1
100134,2026-01-27,505.0,1,117.0,521,3,2367.0,3,10,0,1,4.4,3.6,1,0,1,1,India,Android,Organic,Remarketing,Tier 1
100135,2026-01-27,259.0,1,362.0,159,4,688.0,4,3,2,2,29.7,2.9,1,0,1,0,India,iOS,Organic,Brand,Tier 2
100136,2026-01-27,153.0,1,68.0,230,1,249.0,1,10,1,2,14.5,3.5,1,0,0,0,India,Android,Organic,Unmapped,Tier 2
100137,2026-01-27,270.0,1,181.0,181,1,99.0,7,4,1,1,6.8,2.8,0,0,1,1,India,Android,Meta Ads,Influencer,Tier 1
100138,2026-01-27,566.0,1,188.0,424,3,1994.0,2,6,0,2,18.2,5.0,0,0,1,0,India,Android,Referral,Performance,Tier 3
100139,2026-01-27,588.0,4,52.0,423,2,1100.0,9,6,0,2,8.7,4.3,1,0,0,1,Canada,Android,Google Ads,Influencer,Tier 1
100140,2026-01-27,491.0,1,271.0,190,2,1013.0,3,7,1,1,1.6,2.9,0,0,1,1,India,Android,Google Ads,Remarketing,Tier 2
100141,2026-01-27,175.0,2,114.0,239,1,411.0,5,4,1,1,0.5,4.4,1,0,1,1,India,Android,CRM,Influencer,Tier 2
100142,2026-01-27,632.0,1,152.0,194,2,1280.0,7,9,2,4,12.6,2.5,0,0,1,1,UAE,Android,CRM,Performance,Tier 2
100143,2026-01-27,149.0,1,170.0,128,4,1208.0,5,12,1,1,3.6,3.2,0,0,1,1,USA,Android,Organic,Brand,Tier 3
100144,2026-01-27,842.0,1,82.0,31,1,1170.0,2,6,0,0,0.0,4.4,0,0,1,1,India,Android,Meta Ads,Brand,Tier 2
100145,2026-01-27,1253.0,1,201.0,140,5,4390.0,2,7,1,1,3.4,3.7,0,0,1,1,India,Android,Organic,Performance,Tier 2
100146,2026-01-27,30.0,1,362.0,392,3,4776.0,3,9,0,3,34.8,4.4,0,1,0,1,USA,Android,Google Ads,Unmapped,Tier 1
100147,2026-01-27,816.0,2,481.0,244,3,304.0,7,6,2,1,15.2,2.0,1,0,0,1,India,Android,Organic,Remarketing,Tier 1
100148,2026-01-27,683.0,1,355.0,425,2,304.0,6,4,2,0,0.0,5.0,0,0,1,1,Canada,iOS,Organic,Unmapped,Tier 1
100149,2026-01-27,923.0,1,292.0,369,2,1122.0,7,7,2,1,0.2,3.6,0,1,1,1,India,Android,Meta Ads,Remarketing,Tier 1
100150,2026-01-27,359.0,1,209.0,527,5,750.0,10,1,0,1,11.9,3.3,0,0,0,1,India,Android,Meta Ads,Remarketing,Tier 2
100151,2026-01-27,218.0,1,190.0,250,3,1059.0,5,6,0,0,0.0,4.6,1,0,0,0,India,Android,Google Ads,Performance,Tier 3
100152,2026-01-27,503.0,1,318.0,65,1,1387.0,6,5,0,2,15.3,2.4,0,0,0,1,India,Android,Google Ads,Performance,Tier 2
100153,2026-01-27,446.0,2,58.0,523,2,4255.0,5,6,2,2,8.9,2.6,0,0,1,1,India,Android,Google Ads,Influencer,Tier 3
100154,2026-01-27,1116.0,1,355.0,227,1,516.0,4,3,4,2,9.1,5.0,0,0,0,1,India,Web,Google Ads,Influencer,Tier 2
100155,2026-01-27,207.0,1,236.0,293,1,586.0,3,9,2,1,3.6,5.0,0,0,1,1,India,Android,CRM,Brand,Tier 2
100156,2026-01-27,480.0,1,355.0,461,2,2406.0,5,10,0,3,27.4,4.2,0,1,1,1,Canada,Android,Organic,Performance,Tier 1
100157,2026-01-27,700.0,2,111.0,445,3,1522.0,7,7,1,3,21.7,4.4,1,0,1,1,India,iOS,CRM,Performance,Tier 1
100158,2026-01-27,268.0,1,186.0,106,1,264.0,7,7,0,1,2.6,2.8,0,0,0,1,India,Android,Organic,Brand,Tier 2
100159,2026-01-27,539.0,2,89.0,133,3,2099.0,4,9,1,5,31.5,2.3,1,0,0,1,India,Android,Google Ads,Brand,Tier 1
100160,2026-01-27,914.0,1,64.0,63,2,1062.0,2,3,1,3,33.6,4.1,1,0,0,1,India,Android,Organic,Influencer,Tier 2
100161,2026-01-27,749.0,1,261.0,55,2,906.0,2,1,1,0,0.0,5.0,1,1,1,1,India,Android,Google Ads,Unmapped,Tier 1
100162,2026-01-27,157.0,1,16.0,513,2,1324.0,3,3,2,1,2.3,3.5,0,0,1,0,India,Android,Referral,Unmapped,Tier 2
100163,2026-01-27,1137.0,2,273.0,358,0,0.0,3,11,2,2,50.5,3.8,1,0,0,1,India,Android,Organic,Remarketing,Tier 3
100164,2026-01-27,744.0,1,403.0,497,2,1885.0,5,5,1,0,0.0,5.0,1,0,1,0,India,Android,Organic,Brand,Tier 1
100165,2026-01-27,916.0,2,59.0,214,2,679.0,2,5,2,2,8.1,4.6,1,1,1,1,India,Android,Google Ads,Performance,Tier 1
100166,2026-01-27,756.0,2,272.0,354,1,1037.0,8,6,3,2,4.6,3.5,1,0,1,1,India,Android,Google Ads,Influencer,Tier 3
100167,2026-01-27,656.0,1,131.0,435,3,1116.0,4,7,2,0,0.0,5.0,0,0,1,0,USA,Android,Organic,Performance,Tier 1
100168,2026-01-27,791.0,1,109.0,298,1,670.0,2,10,1,0,0.0,3.1,1,0,1,1,India,Android,Meta Ads,Unmapped,Tier 2
100169,2026-01-27,439.0,1,109.0,6,0,0.0,8,4,0,3,41.1,4.5,1,1,0,1,India,iOS,Referral,Remarketing,Tier 2
100170,2026-01-27,590.0,2,55.0,13,3,3703.0,3,8,1,3,19.4,3.4,0,0,1,1,USA,Android,Organic,Influencer,Tier 2
100171,2026-01-27,572.0,1,248.0,538,5,4502.0,8,6,1,2,13.6,3.8,0,0,1,1,India,Web,CRM,Remarketing,Tier 1
100172,2026-01-27,150.0,3,192.0,371,2,386.0,4,5,3,2,14.2,3.4,1,0,1,0,India,iOS,Meta Ads,Performance,Tier 3
100173,2026-01-27,154.0,1,235.0,443,4,3326.0,5,4,1,2,20.3,4.8,1,0,1,1,India,Android,Organic,Remarketing,Tier 1
100174,2026-01-27,203.0,1,344.0,250,1,733.0,6,4,0,0,0.0,4.0,0,0,1,1,India,Android,Referral,Remarketing,Tier 1
100175,2026-01-27,220.0,2,488.0,228,1,239.0,4,2,1,3,2.3,3.0,1,1,1,1,India,Android,Organic,Unmapped,Tier 1
100176,2026-01-27,894.0,2,243.0,0,1,245.0,4,3,2,4,37.6,2.4,0,0,0,1,India,iOS,Organic,Unmapped,Tier 2
100177,2026-01-27,609.0,1,89.0,82,6,5957.0,2,6,1,0,0.0,2.1,0,0,1,1,India,Android,Organic,Brand,Tier 1
100178,2026-01-27,172.0,2,83.0,0,1,42.0,9,3,2,3,33.0,3.8,1,1,0,1,Canada,Android,Meta Ads,Brand,Tier 1
100179,2026-01-27,698.0,1,586.0,59,0,0.0,5,4,0,6,80.2,4.0,0,0,1,1,UAE,iOS,CRM,Remarketing,Tier 2
100180,2026-01-27,637.0,1,302.0,373,2,1765.0,4,8,1,2,10.4,3.5,1,0,1,1,India,Android,CRM,Brand,Tier 2
100181,2026-01-27,800.0,1,215.0,51,2,287.0,6,3,1,0,0.0,4.7,0,0,0,1,India,Android,Meta Ads,Influencer,Tier 2
100182,2026-01-27,370.0,1,318.0,407,2,1055.0,4,4,1,2,26.3,2.7,1,1,1,1,India,Android,CRM,Remarketing,Tier 2
